tconst;tmdb_id;acteur_principal_;actor_image_url
tt0054425;33336;Hardy Krüger;https://image.tmdb.org/t/p/w500/mWykFvz2kjBtx8uA3X3yK6mmWlH.jpg
tt0054426;131836;Alida Valli;https://image.tmdb.org/t/p/w500/11s7AosF2LHIGgdACpyPyoPlAyI.jpg
tt0054428;6643;Burt Lancaster;https://image.tmdb.org/t/p/w500/hQBgFAdk1BrSum7LN4B67m3gj0U.jpg
tt0054441;33362;Pierre Fresnay;https://image.tmdb.org/t/p/w500/kHa9UH2jlarWBkpyFSe5n1RsM8u.jpg
tt0054446;88376;Jerry Lewis;https://image.tmdb.org/t/p/w500/3TpijSL83yJYvEurLjCnIU44Fr9.jpg
tt0054452;61711;Brigitte Bardot;https://image.tmdb.org/t/p/w500/xitdKLPSsavii74yGJ73cwMzBOC.jpg
tt0054453;43752;Jack Lemmon;https://image.tmdb.org/t/p/w500/7jWVWLr1VJqQrN3d4YJaATCIHRw.jpg
tt0054455;109368;Ernie Kovacs;https://image.tmdb.org/t/p/w500/6tC5PBsOO0oRFvzNqsD4tBjxb4V.jpg
tt0054457;180286;Jack Lord;https://image.tmdb.org/t/p/w500/laGKjiYuFGtmFFYPyZaJZJ0xBT5.jpg
tt0054468;99917;Inconnu;https://raw.githubusercontent.com/Ptit-Lulu/Projet2_Cinema_Creuse/Machine_Learning/pages/Image_non_disponible.jpg
tt0054469;43049;Dolores Hart;https://image.tmdb.org/t/p/w500/zFSIqPfbv6o8MBMELFDAlqBK9TB.jpg
tt0054473;105406;Tony Curtis;https://image.tmdb.org/t/p/w500/6Pj1XkYdI5Wc40Jl0UxJk8PPwlY.jpg
tt0054476;82311;Montgomery Clift;https://image.tmdb.org/t/p/w500/9dwtVaD3ybBNciTzWiNWNqFpFVj.jpg
tt0054483;45608;William Holden;https://image.tmdb.org/t/p/w500/qEuJZiPXKFm1LdtbnHKGj2hQm8a.jpg
tt0054494;2546;Catherine Demongeot;https://image.tmdb.org/t/p/w500/46K3gfr8Pwh7gnlyKsZwTlMCdz8.jpg
tt0054516;68382;Jean-Paul Belmondo;https://image.tmdb.org/t/p/w500/hXAM7zTXGWVAv0VLGGrnxAJJbca.jpg
tt0054594;17984;Fred MacMurray;https://image.tmdb.org/t/p/w500/lxxixlFMNH0JuA9K0K3mJmigYcc.jpg
tt0054601;118998;Susan Hayward;https://image.tmdb.org/t/p/w500/ycgStET6VSECnnk0JV6hJOs57kY.jpg
tt0054603;92247;Marina Vlady;https://image.tmdb.org/t/p/w500/zb6pWsjtLsr5BHRlkKAVpu28ShW.jpg
tt0054605;257607;Nadja Tiller;https://image.tmdb.org/t/p/w500/eDR1LLxy1tOc6CofzEjIFg7jNyc.jpg
